,TALK_ID,NAME,PUBLISHED_DATE,LINK,LENGTH
0,-,When To Go Into Seclusion?,04/05/2023,https://www.youtube.com/watch?v=eJmutiITt6E,13:39
1,-,The Story of Nanda's Mother (Sutta Study AN 7.53),03/29/2023,https://www.youtube.com/watch?v=Flpgl6wsgqg,27:47
2,-,On Forgiveness - by Thaniyo Thero,03/23/2023,https://www.youtube.com/watch?v=trvoi_iek6Y,12:24
3,-,Should you stop caring,03/17/2023,https://www.youtube.com/watch?v=YjRXkLyfh1g,19:54
4,-,Eight thoughts of a great person,03/09/2023,https://www.youtube.com/watch?v=90U9HjaxxRI,57:25
5,-,"Hermitage, slow but steady progress...",03/06/2023,https://www.youtube.com/watch?v=5ZZE1e-hT94,1:54
6,-,Confined Within This Body,02/27/2023,https://www.youtube.com/watch?v=MB57kmfCHtk,10:55
7,-,On Solitude - by Thaniyo Thero,02/22/2023,https://www.youtube.com/watch?v=8kCWkxsAIg4,6:29
8,-,Making the World a Better Place,02/15/2023,https://www.youtube.com/watch?v=XPgZhl3WlzA,41:36
9,-,A King Without a Kingdom (Sutta Study MN 35),02/10/2023,https://www.youtube.com/watch?v=XJC6QxDqfck,26:21
10,-,Abandoning the All,02/05/2023,https://www.youtube.com/watch?v=9jsmfGXInJc,45:50
11,-,Balancing the Element of Earth,01/30/2023,https://www.youtube.com/watch?v=jY1nNx-cutI,20:31
12,-,Avoid Things that Cause Suffering,01/24/2023,https://www.youtube.com/watch?v=9E_UgshHnLI,26:33
13,-,Love and Light,01/18/2023,https://www.youtube.com/watch?v=3P-Z3RvBY_c,18:44
14,-,The Ultimate Method For Overcoming Hindrances,01/10/2023,https://www.youtube.com/watch?v=9voIhZij5Io,49:46
15,-,Full Sutta Study - MN 44,01/03/2023,https://www.youtube.com/watch?v=Fwjt5mIGLBQ,1:11:02
16,-,Winter Days at the Hermitage,12/30/2022,https://www.youtube.com/watch?v=UgCFhPp7_EE,2:58
17,-,When to stop practising?,12/24/2022,https://www.youtube.com/watch?v=5m6N3NawAog,13:27
18,-,Suffering of Sotapannas,12/17/2022,https://www.youtube.com/watch?v=ph9RVBbxgtU,41:52
19,-,Seven Stages of Purification,12/11/2022,https://www.youtube.com/watch?v=YbwcGYrzL4s,55:51
20,-,Becoming Undisturbed,12/05/2022,https://www.youtube.com/watch?v=hoRWooGuYBU,7:46
21,-,Just a Bag of Skin,11/28/2022,https://www.youtube.com/watch?v=lRK96f55ad8,12:37
22,-,Undermining the Sense of Self,11/21/2022,https://www.youtube.com/watch?v=HIDVvlTYxIc,40:04
23,-,"Celibacy, Easy or Frightening?",11/15/2022,https://www.youtube.com/watch?v=LOIjbKsa8co,12:30
24,-,Heedful of the Dangers,11/10/2022,https://www.youtube.com/watch?v=9S-FYoX97C8,20:38
25,-,The Stench and The Flies,11/06/2022,https://www.youtube.com/watch?v=edaHv35nVek,13:02
26,-,Relinquishing the Entire World,10/31/2022,https://www.youtube.com/watch?v=M7GJLGOPxJQ,28:27
27,-,Mind Self-Inflicting,10/26/2022,https://www.youtube.com/watch?v=53CGkpqyR-o,44:46
28,-,A Definitive Guide to Seeing Your Mind,10/20/2022,https://www.youtube.com/watch?v=Hd9WZzxqAkE,51:09
29,-,How to get the Right View,10/15/2022,https://www.youtube.com/watch?v=CrHOWXlOlyo,48:29
30,-,Young Monks' Celibacy,10/10/2022,https://www.youtube.com/watch?v=MPlruopV7yI,20:08
31,-,How to Abandon the Self View,10/03/2022,https://www.youtube.com/watch?v=UWpMHj-6mmo,47:42
32,-,The Mind Cleansing Method,09/27/2022,https://www.youtube.com/watch?v=Xor6zqSrdG4,41:37
33,-,The Extent of the Danger,09/21/2022,https://www.youtube.com/watch?v=R26mRZcGSu0,58:05
34,284,The Meaning of Right Samadhi,09/13/2022,https://www.youtube.com/watch?v=53sSOqThO2A,1:12:17
35,-,"Death, Uncertainty and Aversion to Pain",09/05/2022,https://www.youtube.com/watch?v=wGXX9mxnt8M,52:26
